abajo	debajo
aprisa	ejecutivamente
aprisa	ligero
aprisa	prestamente
aprisa	presto
aprisa	presurosamente
aprisa	prontamente
aprisa	raudamente
aprisa	velozmente
aprobación	aceptación
aprobación	adhesión
aprobación	asentimiento
aprobación	consenso
aprobación	consentimiento
apropiado	correcto
aprovechable	conveniente
aprovechable	provechoso
aprovechable	práctico
aprovechable	usable
aquí	acá
arar	binar
arañas	araña
arbustos	arbusto
arca	cajón
arder	incendiar
arder	quemar
argumentación	aserto
argumentación	aseveración
arista	orilla
armenio	armeno
aro	cesta
aromatizantes	aromatizante
aromatizantes	condimento
arquero	arquera
arquero	flechera
arquero	flechero
arquitecto	arquitecta
arrastrar	estirar
arrastrar	tirar
arrecifes	arrecife
arribo	llegada
arriesgar	aventurar
arsenal	armería
artificial	falso
artrópodos	artrópodo
asa	mango
asaltante	atacante
asaltar	atacar
asalto	ataque
ascensión	ascenso
ascensión	subida
ascenso	subida
asertivo	asertiva
aserto	aseveración
asesino	asesina
asiento	banco
asiento	butaca
asiento	escaño
asiento	localidad
asiento	plaza
asiento	silla
asignar	destinar
asimilar	coger
asimilar	comprender
asimétrico	asimétrica
asistencia	ayuda
asno	burro
asociaciones	asociación
asociaciones	cámara
asociación	club
asociación	clube
asociación	cámara
asociación	círculo
asociación	sociedad
asociar	relacionar
asombrar	pasmar
asombro	desconcierto
asombro	sorpresa
asombroso	asombrosa
asombroso	osupljiv
asombroso	sorprendente
aspecto	estampa
aspecto	expresión
aspecto	matiz
aspecto	punto
asteráceas	asteraceae
astro	estrella
astuto	agudo
astuto	astuta
asunto	cosa
asunto	objeto
asunto	premisa
asunto	tema
atardecer	noche
atención	cuidado
atender	asistir
atender	escuchar
atento	atenta
atractivo	atractiva
atroz	brutal
atroz	bárbaro
atroz	cruel
atroz	salvaje
auge	cima
auge	pico
aumentar	crecer
aumentar	incrementar
aumento	alza
aumento	crecimiento
aumento	incremento
aumento	multiplicación
auspicioso	auspiciosa
auto	automóvil
auto	cacharro
auto	carro
auto	coche
auto	decreto
auto	decretos
auto	turismo
autobús	bus
autobús	camión
autobús	colectivo
autobús	pullman
automóvil	cacharro
automóvil	carro
automóvil	coche
automóvil	turismo
automóviles	vehiculo
autopista	autovía
autopistas	autopista
autopistas	autovía
autor	escritor
autoridad	autorización
autoridad	dirigente
autoridad	dominación
autoridad	dominio
autoridad	gobierno
autoridad	líder
autoridad	poder
autoridad	potencia
autoridad	régimen
autoritario	autoritaria
autorizado	autorizada
autorizar	titular
avalancha	desprendimiento
avaricioso	avariento
avaricioso	codicioso
avaricioso	mezquino
avaricioso	tacaño
avaricioso	ávido
avariento	codicioso
avariento	mezquino
avariento	tacaño
avariento	ávido
avaro	avaricioso
avaro	avariento
avaro	codicioso
avaro	mezquino
avaro	tacaño
avaro	ávido
ave	pájaro
avenida	calzada
avergonzado	avergonzada
averiguar	determinar
avisar	recuperar
aviso	notificación
avión	aeroplano
awe	respeto
axila	sobaco
axiom	axioma
ayudar	asistir
azerí	azerbayano
bactericidas	bactericida
bahías	bahía
bailar	saltar
baile	danza
bajo	inferior
ballenas	ballena
baloncesto	basquetbol
baloncesto	básquetbol
balonvolea	vóley
balón	pelota
bancarrota	quiebra
banco	butaca
banco	escaño
banco	silla
barba	barbilla
barco	barcos
barco	bote
barco	buque
barco	embarcación
barco	nave
barco	navío
barco	velero
barcos	buque
barcos	embarcación
barcos	navío
barcos	velero
barro	lodo
bases	base
basquetbol	básquetbol
basura	lecho
basura	residuo
batallar	contender
batallar	resistir
batería	pila
baño	letrina
beber	tomar
bebida	bebidas
bebida	trago
bebidas	trago
bello	bonito
bello	espléndido
bello	hermoso
bello	precioso
berilio	glucinio
bestia	criatura
betún	bitumen
bibliotecas	biblioteca
bicicletas	bicicleta
bielorrusia	belarús
billete	boleta
billete	boleto
billete	cupón
billete	entrada
billete	pasaje
billete	tiquete
billete	tíquet
biocarburantes	biocarburante
biocidas	biocida
biología	biologia
bitácora	blog
blanco	cándido
blando	muelle
boda	casamiento
bola	falsedad
bola	historia
bola	mentira
bola	película
boleta	boleto
boleta	cupón
boleta	entrada
boleta	pasaje
boleta	tiquete
boleta	tíquet
boleto	cupón
boleto	entrada
boleto	pasaje
boleto	tiquete
boleto	tíquet
bolivia	bolívia
bolsa	bolso
bomba	bombas
bombero	bombera
bonito	espléndido
bonito	hermoso
bonito	precioso
bonito	simpático
borde	arista
borde	canto
borde	margen
borde	orilla
borrasca	tempestad
borrasca	tormenta
bosque	bosques
bosque	floresta
bosque	jungla
bote	frasco
bote	lata
botón	tecla
boötes	pastor
breve	escaso
breve	poco
brillante	vivo
briofitas	briofita
brujo	encantador
brujo	mago
bruma	calima
bruma	calina
bruma	neblina
bruma	niebla
brusco	repentino
brusco	seco
brusco	súbito
brutal	cruel
brutal	genial
brutal	salvaje
buen	bueno
buhardilla	desván
bulto	lío
bulto	paquete
buque	embarcación
buque	nave
buque	navío
bus	camión
bus	pullman
butaca	escaño
butaca	silla
bárbaro	brutal
bárbaro	cruel
bárbaro	genial
bárbaro	salvaje
básico	basilar
básico	central
básico	elemental
básico	esencial
básico	fundamental
básico	primordial
cabeza	cerebro
cabeza	mente
cabeza	responsable
cabeza	ánimo
cabo	final
caer	derrumbarse
caer	desplomarse
caja	cajita
cajetín	timbre
calcular	considerar
calcular	echar
calcular	estimar
calibrado	calibración
calidad	característica
calidad	cualidad
calificación	nota
calima	calina
calima	neblina
calima	niebla
calina	neblina
calina	niebla
calle	avenida
calle	calzada
calle	camino
calle	carretera
calma	dulzura
camarero	mesero
cambio	modificación
cambio	variación
camino	avenida
camino	calzada
camino	curso
camino	dirección
camino	forma
camino	manera
camino	modo
camino	trayectoria
camión	pullman
campamento	camping
campaña	llanura
campaña	movimiento
campeonato	competición
campeonato	concurso
campo	disciplina
campo	terreno
can	canino
can	perra
can	perro
canal	canales
canallesco	deshonesto
canallesco	lascivo
canallesco	malicioso
candela	bujía
canteras	cantera
cantidad	cuantía
canto	arista
canto	margen
canto	orilla
capacidad	ingenio
capacidad	poder
capacitación	entrenamiento
captación	adsorción
cara	faz
cara	rostro
característica	característico
característica	rasgo
caraota	habichuela
carbohidratos	carbohidrato
carga	contribución
carga	imposición
carga	impuesto
carga	tasa
carga	tributación
cargar	cobrar
cargar	transportar
cariño	cielo
cariño	corazón
cariño	dulzura
cariño	querida
cariño	sol
carnicero	carnicera
carretera	autopista
carretera	camino
carril	linea
carril	riel
carro	automóvil
carro	cacharro
carro	coche
carta	epístola
carta	esquela
carta	misiva
carta	plano
carta	planos
cartel	letrero
carácter	letra
casa	asiento
casa	clan
casa	domicilio
casa	familia
casa	firma
casa	hogar
casa	morada
casa	pariente
casa	piso
casa	residencia
casa	techo
casa	tribu
casa	vivienda
casi	aproximadamente
caso	ocasión
cassiopeia	casiopea
castellano	español
catalizadores	catalizador
causar	construir
causar	crear
causar	efectuar
causar	ejecutar
causar	elaborar
causar	fabricar
causar	formar
causar	hacer
causar	inducir
causar	realizar
cavidad	hueco
ceder	dar
ceder	entregar
ceder	pasar
ceder	traspasar
ceniciento	cenicienta
central	elemental
central	esencial
central	fundamental
central	primordial
centro	corazón
centro	esencia
centro	media
centro	medio
centro	núcleo
centro	ojo
centro	sustancia
cerebro	mente
cerebro	ánimo
cero	nada
cerrar	cercar
cerrar	tapar
cerro	colina
cesar	concluir
cesar	parar
cesar	terminar
cesto	aro
cesto	cesta
cetáceos	cetáceo
champaña	champán
chaval	chico
chaval	chiquillo
chaval	crío
chaval	garzón
chaval	joven
chaval	mozo
chaval	muchacho
chaval	niño
chica	compañera
chica	joven
chica	novia
chica	pareja
chica	señorita
chico	breve
chico	escaso
chico	garzón
chico	joven
chico	mozo
chico	muchacho
chico	niño
chico	poco
chimeneas	chimenea
chinches	chinche
chiquillo	crío
chiquillo	niño
choque	sacudida
chícharo	alubia
chícharo	caraota
chícharo	faba
chícharo	frijól
chícharo	habichuela
chícharo	pocha
chícharo	poroto
cielo	corazón
cielo	dulzura
cielo	querida
cielo	sol
cien	centenar
cien	ciento
ciento	centenar
científico	científica
ciervo	venado
ciervos	ciervo
ciervos	venado
cigarrillo	cigarro
cigarro	puro
cima	pico
cine	biógrafo
citar	mencionar
citar	mentar
citar	nombrar
ciudad	ciudades
ciudad	metrópolis
civilización	conocimiento
civilización	cultura
civilización	ilustración
clan	hogar
clan	tribu
claramente	claramente
claramente	desnudamente
claramente	evidentemente
claramente	obviamente
claramente	ostensiblemente
claro	disperso
clase	curso
clase	sección
clase	tipo
clasificar	organizar
clasificar	separar
clima	tiempo
clitoris	clítoris
cloruros	cloruro
club	clube
club	círculo
club	sociedad
clube	círculo
clube	sociedad
clínica	hospital
coche	automóvil
coche	cacharro
coche	carro
coche	turismo
cochera	estacionamiento
cochino	canallesco
cochino	deshonesto
cochino	lascivo
cochino	malicioso
cocodrilos	cocodrilo
codicioso	ávido
coger	comprender
coger	entender
coger	escoger
coger	preferir
coger	seleccionar
coger	tomar
coincidir	consentir
cola	goma
cola	pegamento
colectivo	camión
colectivo	grupo
colegio	escuela
colina	monte
colorado	canallesco
colorado	cochino
colorado	desaseado
colorado	deshonesto
colorado	lascivo
colorado	malicioso
colorantes	colorante
combate	lucha
combatir	batallar
combatir	contender
combatir	resistir
comenzar	empezar
comenzar	iniciar
comer	ingerir
cometido	empleo
cometido	faena
cometido	quehacer
cometido	tarea
cometido	trabajo
comienzo	inicio
comienzo	principio
comienzo	umbral
comisión	comité
comisión	delegación
comité	delegación
compañera	novia
compañera	pareja
compañero	novio
compañero	pareja
competencia	rivalidad
competición	concurso
complacer	encantar
completo	perfecto
completo	total
componente	elemento
componente	factor
componente	parte
comportamiento	conducta
comprar	adquirir
comprender	cubrir
comprender	entender
compromiso	cita
computador	computadora
computador	ordenador
computadora	ordenador
comunicaciones	comunicación
común	corriente
común	general
común	habitual
común	mutuo
común	normal
común	ordinario
común	usual
concepción	imagen
concepción	invención
concernirse	interesarse
concluir	parar
concluir	terminar
condado	provincia
condición	situación
condimento	aromatizante
conducir	dirigir
conducir	ingeniarse
conducir	llevar
conducir	manejar
conducir	regentar
conectado	encendido
conectado	enchufado
conectar	acoplar
conectar	asociar
conectar	empalmar
conectar	encadenar
conectar	relacionar
conectar	unir
conjetura	concepto
conjetura	informe
conjunto	juego
conocer	saber
conocimiento	ilustración
conocimiento	saber
consecuencia	conclusión
consecuencia	corolario
consecuencia	efecto
consecuencia	fruto
consecuencia	resultado
consecuencia	secuela
conseguir	alcanzar
conseguir	lograr
conseguir	obtener
conseguir	sacar
conseguir	tomar
consentimiento	consenso
consentir	autorizar
conserva	mermelada
conservante	conservador
conservantes	conservador
conservantes	conservante
conservar	mantener
conservas	conserva
conservas	mermelada
considerar	apreciar
considerar	confiar
considerar	creer
considerar	estimar
considerar	ver
consistente	estable
consistente	firme
consistente	robusto
consistente	sólido
constituir	fundar
constituir	instaurar
construcción	estructura
construir	edificar
construir	elaborar
construir	fabricar
contaminantes	contaminante
contar	comentar
contar	desarrollar
contar	esperar
contar	importar
contemplar	admirar
contemplar	calcular
contemplar	considerar
contender	resistir
contener	incluir
contener	integrar
contento	alegre
contento	feliz
continuar	avanzar
continuar	proseguir
contribución	imposición
contribución	impuesto
contribución	tasa
contribución	tributación
control	mando
control	poder
controlar	operar
conveniente	provechoso
conveniente	práctico
conveniente	usable
coordinar	aprestar
coordinar	organizar
copiar	calcar
copiar	imitar
copiar	recrear
corazón	dulzura
corazón	esencia
corazón	media
corazón	medio
corazón	núcleo
corazón	ojo
corazón	querida
corazón	sol
corazón	sustancia
corolario	conclusión
corolario	secuela
corresponder	representar
corresponsal	cronista
corresponsal	editor
corriente	actual
corriente	aire
corriente	brisa
corriente	curso
corriente	general
corriente	normal
corriente	ordinario
corriente	viento
cortar	recortar
corte	tajo
cortijo	estancia
cortijo	granja
cortijo	hacienda
cortijo	masía
corto	breve
corto	pequeño
coser	šiti
coste	costo
coste	precio
creación	elaboración
crear	construir
crear	efectuar
crear	ejecutar
crear	elaborar
crear	fabricar
crear	formar
crear	hacer
crear	producir
crear	realizar
crear	trabajar
crecer	progresar
crecimiento	incremento
crecimiento	multiplicación
creer	confiar
criar	asistir
criar	parir
criar	producir
crimen	delito
criptón	kriptón
criterio	estándar
criterio	patrón
criterio	pauta
criterio	regla
cronista	editor
cruel	salvaje
crustáceos	crustáceo
crío	niño
cuadrado	cuadro
cuadro	pintura
cuarto	dependencia
cuarto	habitación
cucarachas	cucaracha
cuencas	cuenca
cuero	piel
cuesta	subida
cueva	gruta
cuevas	cueva
cuevas	gruta
cuidar	tratar
culebras	culebra
cultura	conocimiento
cultura	ilustración
cumpleaños	aniversario
cupón	entrada
cupón	pasaje
cupón	tiquete
cupón	tíquet
curriculum	currículo
curso	dirección
curso	sección
curso	trayectoria
curva	arco
cáncer	cáncer
célula	cámara
daguestán	daguestán
dar	entregar
dar	pasar
dar	traspasar
dañar	romper
daño	deterioro
daño	perjuicio
daño	siniestro
debate	discusión
debatir	discutir
decidir	determinar
decir	conversar
decir	hablar
decir	manifestar
decisiones	decisión
decisiones	determinación
decisión	determinación
decisión	resolución
decisión	resultado
declarar	denunciar
declarar	descubrir
declarar	manifestar
declarar	revelar
declinar	desairar
declinar	desterrar
declinar	excluir
declinar	rehusar
decretos	decreto
dedicación	agotamiento
dedicación	esfuerzo
defensa	guardia
dejadez	abandono
dejadez	apatia
dejadez	apatía
dejadez	desidia
dejar	autorizar
dejar	consentir
dejar	partir
dejar	permitir
dejar	salir
delantal	mandil
delgado	flaco
delicado	frágil
demanda	búsqueda
demanda	pregunta
democracia	república
departamento	condado
departamento	provincia
deportes	deporte
derecho	directo
derecho	perpendicular
derecho	vertical
derrumbarse	desplomarse
desagradable	horrible
desagradar	desfavorecer
desagradar	disgustar
desagradar	displacer
desagradar	malquerer
desagradar	odiar
desagradar	repugnar
desairar	desterrar
desairar	excluir
desairar	rehusar
desaparición	muerte
desaparición	tránsito
desarrollar	comentar
desarrollo	evolución
desaseado	canallesco
desaseado	cochino
desaseado	deshonesto
desaseado	lascivo
desaseado	malicioso
desastres	desastre
descanso	pausa
descanso	respiro
desconcierto	sorpresa
desconectado	apagado
desconectado	desenchufado
describir	detallar
describir	explicar
descubrimiento	hallazgo
descubrir	averiguar
descubrir	denunciar
descubrir	detectar
descubrir	encontrar
descubrir	esclarecer
descubrir	establecer
descubrir	localizar
descubrir	observar
descubrir	revelar
desear	querer
desenchufado	apagado
deseo	anhelo
desfavorecer	disgustar
desfavorecer	displacer
desfavorecer	malquerer
desfavorecer	odiar
desfavorecer	repugnar
desidia	abandono
desidia	apatía
desiertos	desierto
desigualdad	desemejanza
desigualdad	divergencia
desincrustación	destintado
deslumbrar	cegar
desnudamente	claramente
desnudamente	evidentemente
desnudamente	obviamente
desnudamente	ostensiblemente
despedir	echar
desplazar	mover
desterrar	excluir
desterrar	rehusar
destino	lugar
destreza	dedicación
desviación	diferencia
detectar	encontrar
detectar	localizar
detectar	observar
detectar	revelar
detergentes	detergente
determinación	resolución
determinación	resultado
detestar	aborrecer
detestar	odiar
detestar	rechazar
devolver	entregar
diario	gaceta
diario	periódico
diario	rotativo
diarrea	colitis
dibujar	delinear
dibujar	trazar
dibujo	diseño
dibujo	esquema
diccionario	glosario
diccionario	léxico
diccionario	índice
dictamen	concepto
dictamen	conjetura
dictamen	informe
diferencia	desemejanza
diferencia	desigualdad
diferencia	divergencia
diferente	distinto
dificultad	obstáculo
dificultad	problema
difícil	delicado
difícil	duro
difícil	espinoso
dinero	moneda
dinero	pasta
dinero	pelas
dinero	plata
dinero	suelto
dioxinas	dioxina
diques	dique
dirección	trayectoria
dirección	ubicación
dirigente	líder
dirigir	ingeniarse
dirigir	regentar
discreción	mordaza
discreción	reserva
discurrir	pensar
discusión	disputa
discusión	pelea
diseño	diseño
diseño	esquema
diseño	proyecto
disfrutar	gustar
disgustar	displacer
disgustar	malquerer
disgustar	odiar
disgustar	repugnar
displacer	malquerer
displacer	odiar
displacer	repugnar
disponer	aprestar
disponer	coordinar
disponer	organizar
disponer	preparar
disposición	orden
disposición	ordenación
disposición	organización
disposición	postura
disposición	sistema
disputa	pelea
distante	lejano
distante	remoto
distracción	divertimiento
divergencia	desemejanza
diversidad	diferencia
diversión	distracción
diversión	divertimiento
diverso	vario
dividir	partir
dividir	repartir
dividir	separar
división	parte
división	partición
división	sección
doctor	médico
domicilio	asiento
domicilio	morada
domicilio	piso
domicilio	residencia
domicilio	techo
domicilio	vivienda
dominación	autorización
dominación	dominio
dominación	poder
dominación	potencia
dominación	sometimiento
dominación	sumisión
dominio	autorización
dominio	poder
dominio	potencia
dominio	sometimiento
dominio	sumisión
donación	aportación
dormido	dormida
dormitorio	cuarto
dormitorio	dependencia
dormitorio	habitación
dormitorio	pieza
dragados	dragado
duda	incertidumbre
duda	inseguridad
duda	irresolución
dueña	dueño
dueña	propietaria
dueña	propietario
dueño	dueña
dueño	propietaria
dueño	propietario
dulce	pastel
dulzura	querida
dunas	duna
durar	existir
durar	vivir
duro	espinoso
e	y
e.e.u.u.	eeuu
echar	arrojar
echar	enviar
echar	estimar
echar	mandar
echar	remitir
echar	tirar
ecosistemas	ecosistema
edificación	edificio
edificar	fabricar
educación	enseñanza
educación	formación
educación	instrucción
efecto	conclusión
efecto	corolario
efecto	resultado
efecto	secuela
efectos	efecto
efectuar	construir
efectuar	elaborar
einsteinio	einstenio
ejecutar	actuar
ejecutar	afanar
ejecutar	construir
ejecutar	efectuar
ejecutar	elaborar
ejecutivamente	ligero
ejecutivamente	prestamente
ejecutivamente	presto
ejecutivamente	presurosamente
ejecutivamente	prontamente
ejecutivamente	raudamente
ejecutivamente	velozmente
ejemplar	libro
ejemplar	volumen
ejército	tropa
elaborar	afanar
elección	decisión
elección	opción
elección	selección
elemental	esencial
elemental	fundamental
elemental	primordial
elemental	simple
elemento	factor
elevar	acosar
elevar	levantar
elevar	realzar
elevar	subir
embalajes	embalaje
embalses	embalse
embarcar	enviar
embarcar	mandar
embarcar	transportar
empalmar	asociar
empalmar	encadenar
empalmar	relacionar
empalmar	unir
empezar	iniciar
emplear	usar
emplear	utilizar
empleo	ocupación
empleo	trabajo
empleo	uso
empleo	utilización
empresa	compañía
empresario	comerciante
empresas	compañía
empresas	empresa
encadenar	asociar
encadenar	relacionar
encadenar	unir
encantador	mago
encargado	encargada
encargo	cometido
encariñado	encariñada
enchufado	encendido
encontrar	localizar
encontrar	observar
encontrar	recuperar
encontrar	revelar
encuentro	reunión
enfermedad	afección
enfermedades	afección
enfermedades	enfermedad
ensayar	examinar
ensayar	probar
ensayo	experimento
ensayo	juicio
enseñar	instruir
ensuciado	canallesco
ensuciado	cochino
ensuciado	colorado
ensuciado	desaseado
ensuciado	deshonesto
ensuciado	impuro
ensuciado	lascivo
ensuciado	malicioso
ensuciado	mugriento
ensuciado	mugroso
ensuciado	puerco
ensuciado	roñoso
entender	apreciar
entender	aprehender
entender	asimilar
entender	coger
entender	comprender
entorno	ambiente
entorno	medio
entrada	pasaje
entrada	recibidor
entrada	tiquete
entrada	tíquet
entrada	vestíbulo
entrar	ingresar
entrar	penetrar
entregar	librar
entregar	pasar
entregar	traspasar
enviar	mandar
enviar	remitir
enviar	transportar
enzimas	enzima
episodio	hecho
equipo	equipos
equipo	personal
error	equivocación
error	fallo
error	falta
escandalizar	horrorizar
escandalizar	ofender
escaso	poco
escaño	silla
esclarecer	averiguar
escoger	preferir
escoger	seleccionar
escuchar	sentir
esencia	núcleo
esencia	sustancia
esencial	fundamental
esencial	primordial
esfera	marco
esfuerzo	agotamiento
espalda	dorso
especial	excepcional
especial	particular
especial	singular
especies	especie
espectáculo	muestra
esperanto	esperanto
espeso	grueso
espinoso	delicado
esponjas	esponja
esposa	cónyuge
esposa	marida
esposo	cónyuge
esposo	hombre
esposo	marido
esquela	epístola
esquimo-groenlandés	groenlandés-inuktitut
establecer	averiguar
establecer	esclarecer
establecimiento	almacén
establecimiento	sembrado
establecimiento	tienda
estacionamiento	aparcamiento
estación	parada
estadio	etapa
estadio	fase
estado	condado
estado	departamento
estado	nación
estado	país
estado	provincia
estado	tierra
estadísticas	estadística
estallido	ruptura
estampa	expresión
estancia	granja
estancia	hacienda
estancia	masía
estanque	grupo
estanque	pantano
estanque	pozo
este	levante
este	oriente
estilo	forma
estilo	método
estilo	procedimiento
estilo	sistema
estilo	tendencia
estimar	apreciar
estirar	tirar
estorbar	impedir
estrella	astro
estuarios	estuario
estudiar	investigar
estudio	informe
estudio	investigación
estudio	memoria
estándar	patrón
estándar	pauta
estándar	regla
estúpido	imbécil
estúpido	tonto
etapa	fase
evento	episodio
evento	hecho
evento	suceso
evidencia	hecho
evidentemente	obviamente
evidentemente	ostensiblemente
evitar	excusar
evitar	prevenir
examen	test
examinar	probar
excelente	magnífico
excepcional	extraordinario
excepcional	insólito
excepcional	particular
excepcional	singular
excluir	rehusar
excusar	prevenir
exhibir	indicar
exhibir	mostrar
eximir	exonerar
eximir	franquear
eximir	perdonar
existencia	presencia
existencia	vida
existencia	vivencia
existente	real
existir	haber
existir	ser
existir	vivir
exitoso	afortunado
exonerar	perdonar
experiencia	dedicación
experiencia	destreza
experimentar	sentir
expirar	fallecer
expirar	sucumbir
explicar	comentar
explicar	contar
explicar	desarrollar
explicar	detallar
explosivos	explosivo
exportaciones	exportar
expresar	indicar
extenso	largo
extranjero	extraño
extranjero	forastero
extraordinario	insólito
extraño	extraordinario
extraño	forastero
faba	caraota
faba	frijól
faba	habichuela
fabricar	construir
fabricar	efectuar
fabricar	ejecutar
fabricar	elaborar
facilitar	proporcionar
facilitar	proveer
facilitar	suministrar
factura	cuenta
factura	recibo
faena	empleo
faena	quehacer
faena	tarea
faena	trabajo
falda	pollera
fallecer	sucumbir
fallo	equivocación
fallo	falta
falta	equivocación
faltar	fallar
familia	clan
familia	hogar
familia	pariente
familia	tribu
farandulero	cómico
farmacia	botica
faroés	feroés
faz	rostro
fe	religión
fe	seguridad
feliz	alegre
ferrocarril	tren
ferrocarriles	ferrocarril
ferry	transbordador
fertilizantes	fertilizante
filtros	filtro
final	último
financiación	financiamiento
firme	estable
firme	robusto
firme	sólido
fiscal	financiero
flechera	arquera
flechero	arquera
flechero	flechera
flora	planta
floresta	jungla
folklore	folclore
forma	manera
forma	modo
forma	método
forma	procedimiento
forma	sistema
formación	capacitación
formación	entrenamiento
formación	instrucción
formación	preparación
